node,x,y,demand
1,61,99,0
2,95,7,14
3,45,87,1
4,15,47,16
5,39,75,23
6,55,23,12
7,29,71,6
8,87,79,5
9,75,63,1
10,65,61,13
11,73,35,20
12,17,35,14
13,39,99,18
14,75,77,7
15,49,37,8
16,85,31,21
17,89,71,8
18,89,43,24
19,79,81,20
20,45,5,19
21,93,69,13
22,49,69,3
23,63,25,26
24,93,33,17
25,39,45,22
26,89,33,8
27,47,77,16
28,29,19,20
29,13,65,12
30,33,9,22
31,63,9,20
32,41,13,12
33,67,75,14
34,41,27,25
35,49,77,17
36,57,81,19
37,45,5,20
38,83,7,15
39,81,61,2
40,57,81,9
41,93,89,10
42,17,13,6
43,89,27,11
44,7,25,21
45,35,35,24
