node,x,y,demand
1,47,5,0
2,1,19,20
3,97,35,14
4,23,79,5
5,77,87,11
6,3,9,22
7,5,27,25
8,41,53,2
9,51,87,18
10,67,73,10
11,89,45,26
12,71,99,14
13,11,1,22
14,85,85,9
15,57,11,11
16,57,85,18
17,71,33,24
18,61,13,15
19,39,15,23
20,13,59,16
21,43,99,14
22,87,73,8
23,11,37,5
24,21,11,12
25,77,81,8
26,3,63,16
27,47,95,12
28,53,75,15
29,73,55,9
30,81,71,2
31,89,75,10
32,11,9,2
33,27,37,3
34,95,59,20
35,63,63,3
36,37,21,13
37,33,47,25
38,23,63,23
39,13,55,8
40,47,93,16
41,45,43,9
42,83,7,14
43,69,91,4
44,13,11,13
45,37,15,7
46,53,59,16
47,97,83,18
48,75,31,16
