A-n63-k9

VEHICLE
NUMBER     CAPACITY
  9          100

CUSTOMER
CUST NO.   XCOORD.  YCOORD.    DEMAND    
 
    0      91         93          0
    1 	    7	       5	  4
    2	   27 	      91	 18
    3 	   21	      47	 22
    4 	   33 	      11	 14
    5 	   19	      99	  5
    6	   59	      25	  9
    7	   69	      79	  7
    8 	   11	      73	 20
    9 	   21 	      35	 19
   10	   59	      45	  7
   11 	   99	      81	 18
   12	   71 	      47	 20
   13	   53	      83	  2
   14	   87	       1	 11
   15 	   79	      67	 10
   16	   59 	      65	  5
   17	   67	      21	 21
   18	   27	       1	 20
   19	   81	      93	  1
   20	   59	      89	 15
   21	   95 	      23	 15
   22	   73 	      25	 14
   23	   41	      25	 19
   24	    3 	      65	 22
   25	   59	      83	 21
   26	   83	      97	 22
   27	    5	      83	  6
   28	   71	      35	 24
   29	   37	      97	 14
   30	   29	      93	 14
   31	   19	      21	  2
   32	   83	      13	 15
   33	   97	      67	 21
   34	   31	      83	 15
   35	   65	      17 	  6
   36	   19	      63	 23
   37 	   59	      23	 14
   38	   17	      25	 26
   39	   45	      27	 15
   40	   89	       7	 15
   41	   19	      41	 23
   42	   23	      39	  7
   43	   23	      21	 22
   44	   83	      61	 26
   45	   11	      93	 20
   46 	   17	      11	  3
   47	   35 	      11	  2
   48	   21	      59	 15
   49	   21 	      69	  2
   50	   71	      13	 21
   51	   63 	      13	 12
   52	   49	      21	  4
   53	   83	      31	 10
   54	   41	      97	 23
   55	   85	      15	  4
   56	   77	      73	 24
   57	   57	       1	 17
   58	   83	      11	  2
   59	    1	      75	 20
   60	   45	      71	 18
   61	   41	      55	 19
   62	   45	      13	  8
